"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 14:10:50 GMT 2025","Tue Mar 18 14:10:52 GMT 2025","1546","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 14:11:30 GMT 2025","Tue Mar 18 14:11:31 GMT 2025","1391","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:11:17 GMT 2025","Tue Mar 18 14:11:18 GMT 2025","450","Products page isolated tests","","","","","should display all products",""
"passed","Tue Mar 18 14:11:07 GMT 2025","Tue Mar 18 14:11:07 GMT 2025","541","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:10:52 GMT 2025","Tue Mar 18 14:10:52 GMT 2025","736","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 14:10:56 GMT 2025","Tue Mar 18 14:10:56 GMT 2025","34","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 14:11:25 GMT 2025","Tue Mar 18 14:11:26 GMT 2025","780","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:11:09 GMT 2025","Tue Mar 18 14:11:11 GMT 2025","1155","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 14:11:06 GMT 2025","Tue Mar 18 14:11:07 GMT 2025","886","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 14:11:11 GMT 2025","Tue Mar 18 14:11:12 GMT 2025","1010","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 14:11:12 GMT 2025","Tue Mar 18 14:11:13 GMT 2025","986","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 14:10:59 GMT 2025","Tue Mar 18 14:10:59 GMT 2025","379","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 14:10:58 GMT 2025","Tue Mar 18 14:10:59 GMT 2025","393","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 14:10:53 GMT 2025","Tue Mar 18 14:10:53 GMT 2025","722","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 14:11:03 GMT 2025","Tue Mar 18 14:11:04 GMT 2025","842","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 14:11:20 GMT 2025","Tue Mar 18 14:11:21 GMT 2025","1599","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:11:14 GMT 2025","Tue Mar 18 14:11:15 GMT 2025","822","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 14:10:59 GMT 2025","Tue Mar 18 14:10:59 GMT 2025","57","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 14:11:22 GMT 2025","Tue Mar 18 14:11:23 GMT 2025","1418","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 14:10:55 GMT 2025","Tue Mar 18 14:10:56 GMT 2025","798","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 14:11:13 GMT 2025","Tue Mar 18 14:11:14 GMT 2025","1048","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 14:11:01 GMT 2025","Tue Mar 18 14:11:03 GMT 2025","1781","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 14:11:28 GMT 2025","Tue Mar 18 14:11:30 GMT 2025","1703","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 14:11:26 GMT 2025","Tue Mar 18 14:11:26 GMT 2025","541","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 14:10:52 GMT 2025","Tue Mar 18 14:10:52 GMT 2025","39","POST Product API tests","","","","","should receive 401 without proper token",""
