"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:54:18 GMT 2025","Tue Mar 18 10:54:18 GMT 2025","742","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:54:16 GMT 2025","Tue Mar 18 10:54:18 GMT 2025","1695","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:54:32 GMT 2025","Tue Mar 18 10:54:33 GMT 2025","1161","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:54:29 GMT 2025","Tue Mar 18 10:54:30 GMT 2025","872","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:54:21 GMT 2025","Tue Mar 18 10:54:22 GMT 2025","803","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 10:54:18 GMT 2025","Tue Mar 18 10:54:18 GMT 2025","59","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:54:25 GMT 2025","Tue Mar 18 10:54:25 GMT 2025","402","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:54:25 GMT 2025","Tue Mar 18 10:54:25 GMT 2025","47","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:54:36 GMT 2025","Tue Mar 18 10:54:37 GMT 2025","1023","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 10:54:27 GMT 2025","Tue Mar 18 10:54:29 GMT 2025","1710","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:54:37 GMT 2025","Tue Mar 18 10:54:38 GMT 2025","828","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:54:19 GMT 2025","Tue Mar 18 10:54:19 GMT 2025","729","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:54:22 GMT 2025","Tue Mar 18 10:54:22 GMT 2025","35","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:54:34 GMT 2025","Tue Mar 18 10:54:35 GMT 2025","966","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 10:54:35 GMT 2025","Tue Mar 18 10:54:36 GMT 2025","920","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:54:24 GMT 2025","Tue Mar 18 10:54:25 GMT 2025","418","Register API tests","","","","","should successfully register user",""
