"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 10:22:23 GMT 2025","Tue Mar 18 10:22:25 GMT 2025","1268","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 10:22:10 GMT 2025","Tue Mar 18 10:22:10 GMT 2025","740","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 10:22:15 GMT 2025","Tue Mar 18 10:22:16 GMT 2025","397","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 10:22:27 GMT 2025","Tue Mar 18 10:22:28 GMT 2025","849","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 10:22:13 GMT 2025","Tue Mar 18 10:22:13 GMT 2025","37","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 10:22:16 GMT 2025","Tue Mar 18 10:22:16 GMT 2025","35","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 10:22:18 GMT 2025","Tue Mar 18 10:22:20 GMT 2025","1788","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 10:22:16 GMT 2025","Tue Mar 18 10:22:16 GMT 2025","382","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 10:22:12 GMT 2025","Tue Mar 18 10:22:13 GMT 2025","791","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 10:22:26 GMT 2025","Tue Mar 18 10:22:27 GMT 2025","1007","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 10:22:20 GMT 2025","Tue Mar 18 10:22:21 GMT 2025","883","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 10:22:10 GMT 2025","Tue Mar 18 10:22:10 GMT 2025","36","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 10:22:07 GMT 2025","Tue Mar 18 10:22:09 GMT 2025","1642","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 10:22:09 GMT 2025","Tue Mar 18 10:22:10 GMT 2025","743","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 10:22:25 GMT 2025","Tue Mar 18 10:22:26 GMT 2025","990","Navbar tests","","","","","should open profile page",""
