"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 13:03:08 GMT 2025","Tue Mar 18 13:03:09 GMT 2025","825","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 13:02:44 GMT 2025","Tue Mar 18 13:02:45 GMT 2025","747","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 13:02:48 GMT 2025","Tue Mar 18 13:02:49 GMT 2025","807","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 13:03:06 GMT 2025","Tue Mar 18 13:03:07 GMT 2025","965","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 13:02:45 GMT 2025","Tue Mar 18 13:02:46 GMT 2025","740","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 13:02:55 GMT 2025","Tue Mar 18 13:02:56 GMT 2025","1638","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 13:02:51 GMT 2025","Tue Mar 18 13:02:52 GMT 2025","434","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 13:03:01 GMT 2025","Tue Mar 18 13:03:01 GMT 2025","566","Login page tests in isolation","","","","","should fail to login",""
"passed","Tue Mar 18 13:03:05 GMT 2025","Tue Mar 18 13:03:06 GMT 2025","991","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 13:03:07 GMT 2025","Tue Mar 18 13:03:08 GMT 2025","1056","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 13:02:45 GMT 2025","Tue Mar 18 13:02:45 GMT 2025","37","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 13:03:13 GMT 2025","Tue Mar 18 13:03:15 GMT 2025","1567","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 13:03:11 GMT 2025","Tue Mar 18 13:03:13 GMT 2025","1591","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 13:02:59 GMT 2025","Tue Mar 18 13:03:00 GMT 2025","1002","Login page tests in isolation","","","","","should login successfully",""
"passed","Tue Mar 18 13:02:52 GMT 2025","Tue Mar 18 13:02:52 GMT 2025","382","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 13:03:03 GMT 2025","Tue Mar 18 13:03:05 GMT 2025","1369","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 13:02:56 GMT 2025","Tue Mar 18 13:02:57 GMT 2025","849","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 13:02:52 GMT 2025","Tue Mar 18 13:02:52 GMT 2025","35","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 13:02:43 GMT 2025","Tue Mar 18 13:02:44 GMT 2025","1601","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 13:02:49 GMT 2025","Tue Mar 18 13:02:49 GMT 2025","37","GET Products API tests","","","","","should get 401 without token",""
