"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 12:32:00 GMT 2025","Tue Mar 18 12:32:02 GMT 2025","1551","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 12:32:13 GMT 2025","Tue Mar 18 12:32:14 GMT 2025","833","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 12:32:17 GMT 2025","Tue Mar 18 12:32:18 GMT 2025","1282","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 12:32:09 GMT 2025","Tue Mar 18 12:32:09 GMT 2025","429","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 12:32:02 GMT 2025","Tue Mar 18 12:32:02 GMT 2025","40","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 12:32:24 GMT 2025","Tue Mar 18 12:32:26 GMT 2025","2037","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 12:32:19 GMT 2025","Tue Mar 18 12:32:20 GMT 2025","970","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 12:32:26 GMT 2025","Tue Mar 18 12:32:28 GMT 2025","1684","Register tests in isolation","","","","","should fail to register if user already exists",""
"passed","Tue Mar 18 12:32:18 GMT 2025","Tue Mar 18 12:32:19 GMT 2025","1014","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 12:32:09 GMT 2025","Tue Mar 18 12:32:09 GMT 2025","377","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 12:32:22 GMT 2025","Tue Mar 18 12:32:22 GMT 2025","815","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 12:32:02 GMT 2025","Tue Mar 18 12:32:03 GMT 2025","744","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 12:32:06 GMT 2025","Tue Mar 18 12:32:06 GMT 2025","34","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 12:32:12 GMT 2025","Tue Mar 18 12:32:13 GMT 2025","1797","Login page","","","","","should login successfully",""
"passed","Tue Mar 18 12:32:09 GMT 2025","Tue Mar 18 12:32:09 GMT 2025","36","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 12:32:06 GMT 2025","Tue Mar 18 12:32:06 GMT 2025","816","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 12:32:02 GMT 2025","Tue Mar 18 12:32:02 GMT 2025","749","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 12:32:21 GMT 2025","Tue Mar 18 12:32:22 GMT 2025","967","Navbar tests","","","","","should logout on mobile view",""
