"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 18 12:15:17 GMT 2025","Tue Mar 18 12:15:18 GMT 2025","784","POST Product API tests","","","","","should receive 400 if invalid stockQuantity",""
"passed","Tue Mar 18 12:15:15 GMT 2025","Tue Mar 18 12:15:17 GMT 2025","1581","POST Product API tests","","","","","should successfully create product as admin (200)",""
"passed","Tue Mar 18 12:15:29 GMT 2025","Tue Mar 18 12:15:30 GMT 2025","888","Login page","","","","","should fail to login",""
"passed","Tue Mar 18 12:15:18 GMT 2025","Tue Mar 18 12:15:19 GMT 2025","717","POST Product API tests","","","","","should receive 403 as client",""
"passed","Tue Mar 18 12:15:24 GMT 2025","Tue Mar 18 12:15:24 GMT 2025","40","Register API tests","","","","","should get 400 on invalid username",""
"passed","Tue Mar 18 12:15:34 GMT 2025","Tue Mar 18 12:15:35 GMT 2025","977","Navbar tests","","","","","should open profile page",""
"passed","Tue Mar 18 12:15:38 GMT 2025","Tue Mar 18 12:15:39 GMT 2025","791","Navbar tests","","","","","should display correct number of cart items",""
"passed","Tue Mar 18 12:15:33 GMT 2025","Tue Mar 18 12:15:34 GMT 2025","1382","Navbar tests","","","","","should open products page",""
"passed","Tue Mar 18 12:15:37 GMT 2025","Tue Mar 18 12:15:38 GMT 2025","967","Navbar tests","","","","","should logout on mobile view",""
"passed","Tue Mar 18 12:15:21 GMT 2025","Tue Mar 18 12:15:22 GMT 2025","851","GET Products API tests","","","","","should successfully get products",""
"passed","Tue Mar 18 12:15:41 GMT 2025","Tue Mar 18 12:15:43 GMT 2025","1990","Register tests in isolation","","","","","should successfully register new user",""
"passed","Tue Mar 18 12:15:24 GMT 2025","Tue Mar 18 12:15:25 GMT 2025","400","Register API tests","","","","","should get 400 if username already exists",""
"passed","Tue Mar 18 12:15:18 GMT 2025","Tue Mar 18 12:15:18 GMT 2025","59","POST Product API tests","","","","","should receive 401 without proper token",""
"passed","Tue Mar 18 12:15:36 GMT 2025","Tue Mar 18 12:15:37 GMT 2025","921","Navbar tests","","","","","should logout",""
"passed","Tue Mar 18 12:15:22 GMT 2025","Tue Mar 18 12:15:22 GMT 2025","35","GET Products API tests","","","","","should get 401 without token",""
"passed","Tue Mar 18 12:15:24 GMT 2025","Tue Mar 18 12:15:24 GMT 2025","432","Register API tests","","","","","should successfully register user",""
"passed","Tue Mar 18 12:15:27 GMT 2025","Tue Mar 18 12:15:29 GMT 2025","1892","Login page","","","","","should login successfully",""
